Kat-Nr,ort_lit,ort_name,x_long,y_lat
,Sonstige,Sikilongo,18.56,3.65
,Sonstige,Eyo,18.48,3.66
,Sonstige,Bobélé 2,18.38,4.03
,Sonstige,Nyabessan,10.4,2.4
,Sonstige,Kamalete,11.765497,-0.698869
,Sonstige,Gbadolite,21.00284,4.279
,Sonstige,Île des Mimosas,15.227313,-4.328826
,Sonstige,Kinshasa-Kalina,15.282501,-4.364819
,Sonstige,Kinshasa-Njili,15.377508,-4.408902
,Sonstige,Ruzizi,28.892014,-2.494502
,Sonstige,Gaseke,29.550644,-1.767514
,Sonstige,Ruzizi,29.258773,-3.084618
,Sonstige,Liavela,15.366667,-14.966667
,Sonstige,Nkondo,12.966667,-4.916667
,Sonstige,Lovo,14.45542,-5.73303
,Sonstige,Kinshasa-Kingabwa/Ngombela,15.342473,-4.1331539
,Sonstige,Gisenyi,29.257472,-1.695498
,Sonstige,Kinshasa-Lemba,15.318889,-4.396111
,Sonstige,Funa (Île de la Funa),15.34503,-4.31915
,Sonstige,Benfica,13.190891,-8.95796
,Sonstige,Calunda,23.46373,-12.13008
,Sonstige,Camissombo,20.657119,-8.156123
,Sonstige,Cangalonge,13.464792,-15.270437
,Sonstige,Dundo,20.819528,-7.374172
,Sonstige,Bidjoka,10.612778,3.680278
,Sonstige,Lobe,9.902146,2.866258
,Sonstige,Edea,10.114167,3.820556
,Sonstige,Abong Mbang,13.1775,3.986111
,Sonstige,Eseke,10.820576,3.573042
,Sonstige,Omong,10.897893,3.88372
,Sonstige,Bertoua,13.617778,4.485556
,Sonstige,Ngamboula,13.833333,4.5625
,Sonstige,Ebolowa,11.244444,2.9
,Sonstige,Bafoussam,10.316667,5.545278
,Sonstige,Bafounda,10.326944,5.543333
,Sonstige,Garoua,13.614722,9.447222
,Sonstige,Kay Ladio,14.0075,-5.128462
,Sonstige,Bangu,14.446232,-5.544972
,Sonstige,Kwimba,14.877041,-5.635787
,Sonstige,Kongo dia Vanga,13.699803,-5.768174
,Sonstige,Tama,15.77,3.387778
,Sonstige,Bikoula,15.826167,3.433056
,Sonstige,Bilolo,15.864167,3.431111
,Sonstige,Mpoyo,15.898611,3.448889
,Sonstige,Bindjo,15.945556,3.458333
,Sonstige,Mbiali,15.958333,3.483611
,Sonstige,Gongu�� PK 14,15.976667,3.461944
,Sonstige,Gongu�� PK 10���13,15.981944,3.458333
